test_no,num,den,mse_1_0,mse_1_1,mse_1_2,mse_1_3,mse_1_4,mse_1_5,mse_1_7,mse_1_8,mse_1_9,mse_2_0,mse_2_1,mse_2_2,mse_2_3,mse_2_4,mse_2_5,mse_2_7,mse_2_8,mse_2_9
test_1_0,13.593656082712826,"[1, 13.531928596373566]",9.446791519966858,2.9495804089077673,6.533314502011099,2.852762455507972,3.036915849682694,5.758566237775043,11.457848147139545,2.518855539974064,5.63330303356016,20.58180574845608,21.033161515374818,23.478423929278573,7.885455223076378,42.45428152908545,45.00653242113196,40.551430897069935,3.169636664418749,51.57755506254442
test_1_1,13.63497740173834,"[1, 13.57314002337246]",9.503642249330738,2.955478710207669,6.518789947417513,2.8638327369580012,3.036110063922206,5.761918314127856,11.495449396511745,2.512216285559191,5.635722516691638,20.71810417981603,21.15046243696671,23.607563137012004,7.907377165638286,42.71400368172356,45.25426416009766,40.76952263609648,3.176199677212105,51.846592539496754
test_1_2,13.677346049927282,"[1, 13.615492361286067]",9.561998440762308,2.961564803394689,6.503658266383418,2.875160656849608,3.035120174165127,5.765092432981732,11.53365048797635,2.505377023447219,5.637973399349529,20.857929737958976,21.27046471975131,23.73961125099622,7.929850142728714,42.9796497286987,45.50784302345791,40.992467969664894,3.182810136626409,52.12139814919384
test_1_3,13.677346049927282,"[1, 13.615492361286067]",9.561998440762308,2.961564803394689,6.503658266383418,2.875160656849608,3.035120174165127,5.765092432981732,11.53365048797635,2.505377023447219,5.637973399349529,20.857929737958976,21.27046471975131,23.73961125099622,7.929850142728714,42.9796497286987,45.50784302345791,40.992467969664894,3.182810136626409,52.12139814919384
test_1_4,13.657522829422884,"[1, 13.59558008934446]",9.535005624433763,2.958914365025671,6.511151122259843,2.870061754449208,3.035824425651497,5.7640799198023664,11.516239738850981,2.508760673741922,5.637338898443364,20.792697450108953,21.214638131971856,23.678394380902017,7.919756878894856,42.855900855168755,45.389620716027814,40.88882769011996,3.180019436954361,51.99382369348235
test_1_5,9.602071271995936,"[1, 9.800382970473567]",6.424715439307835,3.642980834839152,7.721463697241834,2.644718049092363,2.907543256957926,5.549045763909103,7.5404174340376535,3.693678223511832,5.568392753611106,10.203308525990815,10.657588235015822,12.158930788800912,8.02410080862408,17.778711108664496,22.352932524316667,19.92847359911343,3.126678674140932,25.145575369174423
test_1_6,9.533984654998845,"[1, 9.729403874102873]",6.492684714300387,3.721846496281944,7.804860106815255,2.69200127815321,2.93941871246159,5.625179924445272,7.540790147022185,3.75945855432458,5.641406980690881,10.134318058984883,10.552930829421024,12.087957202152003,8.162616903836282,17.45012697928912,22.070326972612698,19.69652465464706,3.186351138506577,24.848102785070406
test_1_7,9.571410097046423,"[1, 9.767392226544075]",6.45807298493329,3.680546647562782,7.764453264070514,2.667510030211357,2.924823146059969,5.588751402936924,7.54544615362289,3.725563330257769,5.606144342212176,10.17238738483156,10.610823182471856,12.131092503619826,8.091061389206178,17.63180670668168,22.226643087425312,19.827607448162926,3.156169825978057,25.01895823614335
test_1_8,9.491271031993586,"[1, 9.685487916275433]",6.535926876834472,3.771291409204042,7.854603267819876,2.721614929259113,2.958046090496612,5.670746605638037,7.53899646401299,3.800085727531901,5.685318408621511,10.09333723487784,10.488676743333826,12.043198121907013,8.249231288277787,17.24537536288774,21.894767641222504,19.55123654839577,3.223170911799812,24.65980479020427
test_1_9,9.597887787421179,"[1, 9.794281882668002]",6.434454251293517,3.651778217749018,7.736049294175395,2.650502147751567,2.914601968955246,5.5633122425064325,7.549016806627311,3.701834348323631,5.581528745881217,10.200290516986541,10.652435882020363,12.162449870867137,8.04135749327308,17.76115574897044,22.338165621556143,19.92125532885824,3.135157972785801,25.140820827980672
